title,url,year,rating,genres,streams
STRAW,https://uflix.cc/movie/straw-2025,,,,"/movie/straw-2025?api=stream1, /movie/straw-2025?api=stream2, /movie/straw-2025?api=stream3, /movie/straw-2025?api=stream4, /movie/straw-2025?api=stream5"
Game Changer,https://uflix.cc/movie/game-changer-2025,,,,"/movie/game-changer-2025?api=stream1, /movie/game-changer-2025?api=stream2, /movie/game-changer-2025?api=stream3, /movie/game-changer-2025?api=stream4, /movie/game-changer-2025?api=stream5"
From Embers,https://uflix.cc/movie/from-embers-2024,,,,"/movie/from-embers-2024?api=stream1, /movie/from-embers-2024?api=stream2, /movie/from-embers-2024?api=stream3, /movie/from-embers-2024?api=stream4, /movie/from-embers-2024?api=stream5"
A Long Shot,https://uflix.cc/movie/a-long-shot-2024,,,,"/movie/a-long-shot-2024?api=stream1, /movie/a-long-shot-2024?api=stream2, /movie/a-long-shot-2024?api=stream3, /movie/a-long-shot-2024?api=stream4, /movie/a-long-shot-2024?api=stream5"
Wish You Were Here,https://uflix.cc/movie/wish-you-were-here-2025,,,,"/movie/wish-you-were-here-2025?api=stream1, /movie/wish-you-were-here-2025?api=stream2, /movie/wish-you-were-here-2025?api=stream3, /movie/wish-you-were-here-2025?api=stream4, /movie/wish-you-were-here-2025?api=stream5"
Den of Thieves 2: Pantera,https://uflix.cc/movie/den-of-thieves-2-pantera-2025,,,,"/movie/den-of-thieves-2-pantera-2025?api=stream1, /movie/den-of-thieves-2-pantera-2025?api=stream2, /movie/den-of-thieves-2-pantera-2025?api=stream3, /movie/den-of-thieves-2-pantera-2025?api=stream4, /movie/den-of-thieves-2-pantera-2025?api=stream5"
Officer on Duty,https://uflix.cc/movie/officer-on-duty-2025,,,,"/movie/officer-on-duty-2025?api=stream1, /movie/officer-on-duty-2025?api=stream2, /movie/officer-on-duty-2025?api=stream3, /movie/officer-on-duty-2025?api=stream4, /movie/officer-on-duty-2025?api=stream5"
Sikandar Ka Muqaddar,https://uflix.cc/movie/sikandar-ka-muqaddar-2024,,,,"/movie/sikandar-ka-muqaddar-2024?api=stream1, /movie/sikandar-ka-muqaddar-2024?api=stream2, /movie/sikandar-ka-muqaddar-2024?api=stream3, /movie/sikandar-ka-muqaddar-2024?api=stream4, /movie/sikandar-ka-muqaddar-2024?api=stream5"
Nonnas,https://uflix.cc/movie/nonnas-2025,,,,"/movie/nonnas-2025?api=stream1, /movie/nonnas-2025?api=stream2, /movie/nonnas-2025?api=stream3, /movie/nonnas-2025?api=stream4, /movie/nonnas-2025?api=stream5"
Popeye's Revenge,https://uflix.cc/movie/popeyes-revenge-2025,,,,"/movie/popeyes-revenge-2025?api=stream1, /movie/popeyes-revenge-2025?api=stream2, /movie/popeyes-revenge-2025?api=stream3, /movie/popeyes-revenge-2025?api=stream4, /movie/popeyes-revenge-2025?api=stream5"
